DATE,PRCP,TAVG,TMAX,TMIN,COUNTRY
19800101 000000,,54.0,61.0,43.0,Tunisia
19800101 000000,,49.0,55.0,41.0,Tunisia
19800101 000000,0.0,72.0,86.0,59.0,Cameroon
19800101 000000,,50.0,55.0,43.0,Tunisia
19800101 000000,,75.0,91.0,,Cameroon
19800101 000000,,52.0,61.0,45.0,Tunisia
19800101 000000,0.0,76.0,97.0,59.0,Senegal
19800101 000000,0.0,74.0,95.0,59.0,Senegal
19800101 000000,0.0,78.0,93.0,63.0,Senegal
19800101 000000,0.0,76.0,91.0,59.0,Senegal
19800101 000000,0.0,56.0,72.0,45.0,Egypt
19800101 000000,,84.0,99.0,,Senegal
19800101 000000,0.12,54.0,68.0,43.0,Egypt
19800101 000000,0.0,74.0,81.0,66.0,Senegal
19800101 000000,,86.0,97.0,,Senegal
19800101 000000,0.0,78.0,95.0,63.0,Senegal
19800101 000000,0.0,61.0,,46.0,Egypt
19800101 000000,0.0,75.0,91.0,61.0,Senegal
19800101 000000,0.0,74.0,91.0,60.0,Senegal
19800101 000000,0.0,80.0,97.0,66.0,Senegal
19800101 000000,0.0,,,,Angola
19800101 000000,0.0,80.0,97.0,68.0,Senegal
19800101 000000,0.0,84.0,91.0,,Cameroon
19800101 000000,,49.0,52.0,,Tunisia
19800101 000000,0.0,,94.0,62.0,Senegal
19800102 000000,0.0,75.0,93.0,56.0,Senegal
19800102 000000,0.0,,94.0,62.0,Senegal
19800102 000000,0.0,80.0,99.0,64.0,Senegal
19800102 000000,0.0,82.0,96.0,59.0,Senegal
19800102 000000,0.0,76.0,95.0,59.0,Senegal
19800102 000000,0.0,59.0,72.0,45.0,Egypt
19800102 000000,0.0,75.0,91.0,61.0,Cameroon
19800102 000000,0.0,78.0,97.0,63.0,Senegal
19800102 000000,,59.0,66.0,48.0,Tunisia
19800102 000000,0.0,79.0,97.0,70.0,Senegal
19800102 000000,0.0,,,,Angola
19800102 000000,0.0,73.0,79.0,70.0,Senegal
19800102 000000,0.0,79.0,95.0,55.0,Senegal
19800102 000000,,82.0,97.0,,Senegal
19800102 000000,0.0,78.0,94.0,59.0,Senegal
19800102 000000,,54.0,63.0,48.0,Tunisia
19800102 000000,0.0,81.0,90.0,75.0,Cameroon
19800102 000000,0.0,77.0,97.0,59.0,Senegal
19800102 000000,0.0,76.0,95.0,59.0,Cameroon
19800102 000000,,54.0,61.0,46.0,Tunisia
19800102 000000,0.0,72.0,91.0,63.0,Senegal
19800102 000000,0.0,58.0,,46.0,Egypt
19800102 000000,,58.0,70.0,50.0,Tunisia
19800102 000000,,55.0,63.0,,Tunisia
19800103 000000,0.0,80.0,100.0,64.0,Senegal
19800103 000000,0.0,55.0,,45.0,Egypt
19800103 000000,0.0,82.0,99.0,62.0,Senegal
19800103 000000,,54.0,61.0,46.0,Tunisia
19800103 000000,,50.0,57.0,43.0,Tunisia
19800103 000000,,82.0,97.0,,Senegal
19800103 000000,0.0,,,,Angola
19800103 000000,,51.0,57.0,46.0,Tunisia
19800103 000000,0.0,80.0,96.0,62.0,Senegal
19800103 000000,0.0,55.0,,43.0,Egypt
19800103 000000,,84.0,95.0,,Senegal
19800103 000000,0.0,80.0,97.0,63.0,Senegal
19800103 000000,0.0,72.0,,68.0,Senegal
19800103 000000,0.0,72.0,93.0,59.0,Senegal
19800103 000000,0.0,82.0,95.0,66.0,Senegal
19800103 000000,0.0,,96.0,59.0,Senegal
19800103 000000,0.0,77.0,94.0,59.0,Senegal
19800103 000000,0.0,80.0,91.0,73.0,Cameroon
19800103 000000,0.0,78.0,99.0,61.0,Senegal
19800103 000000,,48.0,52.0,46.0,Tunisia
19800103 000000,0.0,74.0,95.0,61.0,Senegal
19800103 000000,,47.0,52.0,45.0,Tunisia
19800103 000000,0.0,62.0,73.0,45.0,Egypt
19800104 000000,0.0,77.0,91.0,64.0,Senegal
19800104 000000,0.0,72.0,79.0,66.0,Senegal
19800104 000000,0.0,79.0,99.0,63.0,Cameroon
19800104 000000,0.0,,,,Angola
19800104 000000,0.0,83.0,95.0,66.0,Senegal
19800104 000000,,46.0,54.0,34.0,Tunisia
19800104 000000,0.0,56.0,64.0,,Egypt
19800104 000000,,48.0,,41.0,Tunisia
19800104 000000,,53.0,64.0,,Tunisia
19800104 000000,0.0,74.0,97.0,63.0,Senegal
19800104 000000,0.0,83.0,95.0,59.0,Senegal
19800104 000000,0.0,77.0,91.0,64.0,Senegal
19800104 000000,0.0,67.0,90.0,50.0,Cameroon
19800104 000000,0.0,,96.0,61.0,Senegal
19800104 000000,0.0,79.0,95.0,62.0,Senegal
19800104 000000,0.0,80.0,97.0,66.0,Senegal
19800104 000000,0.0,73.0,95.0,61.0,Senegal
19800104 000000,,51.0,61.0,39.0,Tunisia
19800104 000000,0.0,56.0,,45.0,Egypt
19800104 000000,0.0,80.0,96.0,63.0,Senegal
19800104 000000,0.0,80.0,97.0,64.0,Senegal
19800104 000000,0.0,80.0,90.0,73.0,Cameroon
19800104 000000,0.0,71.0,,63.0,Senegal
19800104 000000,,50.0,59.0,41.0,Tunisia
19800105 000000,,81.0,91.0,,Cameroon
19800105 000000,0.0,76.0,86.0,66.0,Senegal
19800105 000000,0.0,46.0,,45.0,Egypt
19800105 000000,0.0,70.0,91.0,61.0,Senegal
19800105 000000,,45.0,63.0,30.0,Tunisia
19800105 000000,0.0,76.0,86.0,68.0,Senegal
19800105 000000,,51.0,68.0,41.0,Tunisia
19800105 000000,0.0,53.0,57.0,,Egypt
19800105 000000,0.0,81.0,91.0,70.0,Senegal
19800105 000000,0.0,,94.0,66.0,Senegal
19800105 000000,0.0,71.0,79.0,66.0,Senegal
19800105 000000,0.0,,,,Angola
19800105 000000,0.0,75.0,93.0,57.0,Senegal
19800105 000000,0.0,77.0,91.0,64.0,Cameroon
19800105 000000,0.0,82.0,95.0,62.0,Senegal
19800105 000000,0.0,78.0,99.0,61.0,Cameroon
19800105 000000,0.0,57.0,66.0,46.0,Egypt
19800105 000000,0.0,83.0,95.0,58.0,Senegal
19800105 000000,,51.0,63.0,45.0,Tunisia
19800105 000000,0.0,74.0,95.0,61.0,Senegal
19800105 000000,,51.0,63.0,43.0,Tunisia
19800105 000000,0.0,78.0,90.0,68.0,Senegal
19800105 000000,0.0,76.0,90.0,66.0,Senegal
19800105 000000,0.0,77.0,95.0,63.0,Senegal
19800105 000000,,43.0,,28.0,Tunisia
19800105 000000,0.0,68.0,88.0,48.0,Cameroon
19800106 000000,,81.0,99.0,,Senegal
19800106 000000,,77.0,84.0,,Senegal
19800106 000000,,53.0,59.0,46.0,Tunisia
19800106 000000,0.0,78.0,88.0,66.0,Senegal
19800106 000000,,53.0,63.0,43.0,Tunisia
19800106 000000,0.0,71.0,77.0,66.0,Senegal
19800106 000000,0.0,82.0,94.0,56.0,Senegal
19800106 000000,0.0,76.0,97.0,55.0,Senegal
19800106 000000,0.0,71.0,,54.0,Senegal
19800106 000000,0.24,55.0,,,Egypt
19800106 000000,,49.0,63.0,,Tunisia
19800106 000000,0.0,,,,Angola
19800106 000000,0.0,78.0,99.0,59.0,Senegal
19800106 000000,0.0,81.0,95.0,68.0,Senegal
19800106 000000,0.0,51.0,,45.0,Egypt
19800106 000000,,53.0,63.0,43.0,Tunisia
19800106 000000,0.0,70.0,86.0,48.0,Cameroon
19800106 000000,0.0,81.0,95.0,58.0,Senegal
19800106 000000,0.0,,95.0,54.0,Senegal
19800106 000000,0.0,77.0,97.0,63.0,Cameroon
19800106 000000,,52.0,57.0,46.0,Tunisia
19800106 000000,0.0,,93.0,57.0,Senegal
19800106 000000,0.0,80.0,90.0,73.0,Cameroon
19800106 000000,0.0,80.0,95.0,63.0,Senegal
19800107 000000,,53.0,64.0,45.0,Tunisia
19800107 000000,0.0,81.0,91.0,73.0,Cameroon
19800107 000000,0.0,51.0,61.0,,Egypt
19800107 000000,0.0,72.0,90.0,50.0,Cameroon
19800107 000000,0.0,76.0,88.0,64.0,Cameroon
19800107 000000,0.0,73.0,84.0,61.0,Senegal
19800107 000000,0.0,70.0,77.0,64.0,Senegal
19800107 000000,0.0,,,,Angola
19800107 000000,0.0,81.0,91.0,72.0,Senegal
19800107 000000,0.0,52.0,66.0,39.0,Egypt
19800107 000000,,49.0,61.0,,Tunisia
19800107 000000,0.0,76.0,88.0,,Senegal
19800107 000000,0.0,73.0,83.0,61.0,Senegal
19800107 000000,0.0,,86.0,60.0,Senegal
19800107 000000,0.0,77.0,90.0,61.0,Senegal
19800107 000000,0.0,77.0,88.0,66.0,Senegal
19800107 000000,0.0,81.0,93.0,64.0,Senegal
19800107 000000,0.0,82.0,95.0,64.0,Senegal
19800107 000000,0.0,77.0,91.0,57.0,Senegal
19800107 000000,,44.0,57.0,34.0,Tunisia
19800107 000000,0.0,54.0,64.0,43.0,Egypt
19800107 000000,0.0,76.0,88.0,64.0,Senegal
19800107 000000,,53.0,63.0,41.0,Tunisia
19800107 000000,0.0,79.0,,63.0,Cameroon
19800107 000000,,52.0,57.0,45.0,Tunisia
19800107 000000,0.0,69.0,88.0,59.0,Senegal
19800108 000000,0.0,78.0,86.0,,Senegal
19800108 000000,,45.0,59.0,28.0,Tunisia
19800108 000000,0.0,77.0,,59.0,Cameroon
19800108 000000,0.0,73.0,82.0,66.0,Senegal
19800108 000000,0.0,69.0,79.0,64.0,Senegal
19800108 000000,0.0,72.0,82.0,64.0,Senegal
19800108 000000,0.0,71.0,80.0,62.0,Senegal
19800108 000000,0.0,70.0,75.0,68.0,Senegal
19800108 000000,0.0,56.0,66.0,43.0,Egypt
19800108 000000,,44.0,59.0,32.0,Tunisia
19800108 000000,,51.0,59.0,43.0,Tunisia
19800108 000000,0.0,84.0,95.0,73.0,Senegal
19800108 000000,0.0,64.0,86.0,46.0,Cameroon
19800108 000000,0.0,75.0,88.0,63.0,Cameroon
19800108 000000,0.0,78.0,84.0,75.0,Senegal
19800108 000000,,50.0,63.0,45.0,Tunisia
19800108 000000,0.0,74.0,82.0,68.0,Senegal
19800108 000000,0.0,,77.0,62.0,Senegal
19800108 000000,0.0,,,,Angola
19800108 000000,0.0,81.0,91.0,73.0,Cameroon
19800108 000000,0.0,74.0,79.0,63.0,Senegal
19800108 000000,0.0,75.0,84.0,,Senegal
19800108 000000,0.0,77.0,,70.0,Senegal
19800108 000000,,51.0,64.0,34.0,Tunisia
19800109 000000,0.0,,,,Angola
19800109 000000,,79.0,91.0,,Senegal
19800109 000000,,47.0,61.0,36.0,Tunisia
19800109 000000,,76.0,82.0,,Senegal
19800109 000000,0.0,54.0,,41.0,Egypt
19800109 000000,0.0,73.0,82.0,56.0,Senegal
19800109 000000,0.0,81.0,91.0,73.0,Cameroon
19800109 000000,0.0,69.0,82.0,60.0,Senegal
19800109 000000,0.0,69.0,81.0,56.0,Senegal
19800109 000000,,42.0,,28.0,Tunisia
19800109 000000,0.0,73.0,86.0,68.0,Senegal
19800109 000000,0.0,69.0,97.0,48.0,Cameroon
19800109 000000,,76.0,86.0,,Senegal
19800109 000000,0.0,73.0,88.0,61.0,Senegal
19800109 000000,,46.0,61.0,34.0,Tunisia
19800109 000000,0.0,,82.0,59.0,Senegal
19800109 000000,0.0,54.0,,48.0,Egypt
19800109 000000,0.0,65.0,81.0,54.0,Senegal
19800109 000000,0.0,59.0,,46.0,Egypt
19800109 000000,0.0,72.0,90.0,61.0,Cameroon
19800109 000000,,48.0,59.0,37.0,Tunisia
19800109 000000,0.0,68.0,73.0,64.0,Senegal
19800109 000000,,78.0,,,Cameroon
19800109 000000,,74.0,84.0,,Senegal
19800109 000000,,57.0,,,Egypt
19800109 000000,0.0,70.0,84.0,61.0,Senegal
19800109 000000,,51.0,63.0,41.0,Tunisia
19800110 000000,,84.0,91.0,,Senegal
19800110 000000,,53.0,63.0,45.0,Tunisia
19800110 000000,0.0,69.0,86.0,59.0,Senegal
19800110 000000,0.0,76.0,93.0,64.0,Senegal
19800110 000000,,54.0,63.0,,Egypt
19800110 000000,,49.0,63.0,32.0,Tunisia
19800110 000000,0.0,59.0,88.0,54.0,Senegal
19800110 000000,,53.0,63.0,,Egypt
19800110 000000,0.0,58.0,70.0,43.0,Egypt
19800110 000000,0.0,72.0,91.0,55.0,Senegal
19800110 000000,0.0,,,,Angola
19800110 000000,0.0,57.0,63.0,50.0,Egypt
19800110 000000,0.0,75.0,93.0,63.0,Senegal
19800110 000000,,48.0,61.0,39.0,Tunisia
19800110 000000,0.0,69.0,86.0,64.0,Senegal
19800110 000000,0.0,62.0,86.0,46.0,Cameroon
19800110 000000,0.0,81.0,95.0,57.0,Senegal
19800110 000000,0.0,74.0,93.0,55.0,Senegal
19800110 000000,0.0,80.0,91.0,73.0,Cameroon
19800110 000000,,49.0,61.0,39.0,Tunisia
19800110 000000,,49.0,64.0,36.0,Tunisia
19800110 000000,0.0,75.0,93.0,63.0,Cameroon
19800110 000000,0.0,,89.0,55.0,Senegal
19800110 000000,0.0,73.0,86.0,53.0,Senegal
19800110 000000,0.0,73.0,91.0,54.0,Senegal
19800110 000000,,75.0,91.0,,Cameroon
19800110 000000,0.0,74.0,95.0,57.0,Senegal
19800111 000000,0.0,52.0,64.0,,Egypt
19800111 000000,0.0,,91.0,56.0,Senegal
19800111 000000,0.0,76.0,97.0,59.0,Senegal
19800111 000000,0.0,78.0,92.0,57.0,Senegal
19800111 000000,0.0,75.0,95.0,63.0,Senegal
19800111 000000,0.0,65.0,88.0,46.0,Cameroon
19800111 000000,0.0,75.0,95.0,63.0,Cameroon
19800111 000000,0.0,75.0,90.0,57.0,Senegal
19800111 000000,,47.0,50.0,41.0,Tunisia
19800111 000000,0.0,61.0,75.0,46.0,Egypt
19800111 000000,,50.0,54.0,41.0,Tunisia
19800111 000000,0.0,80.0,90.0,75.0,Cameroon
19800111 000000,0.0,70.0,77.0,66.0,Senegal
19800111 000000,0.0,78.0,89.0,53.0,Senegal
19800111 000000,,71.0,91.0,,Cameroon
19800111 000000,0.0,80.0,97.0,68.0,Senegal
19800111 000000,,48.0,55.0,39.0,Tunisia
19800111 000000,,46.0,54.0,34.0,Tunisia
19800111 000000,0.0,56.0,,50.0,Egypt
19800111 000000,,86.0,95.0,,Senegal
19800111 000000,0.0,79.0,95.0,61.0,Senegal
19800111 000000,,51.0,57.0,45.0,Tunisia
19800111 000000,0.0,68.0,88.0,59.0,Senegal
19800111 000000,0.0,76.0,95.0,57.0,Senegal
19800111 000000,0.0,55.0,63.0,50.0,Egypt
19800111 000000,0.0,,,,Angola
19800112 000000,0.0,79.0,99.0,64.0,Senegal
19800112 000000,0.0,80.0,95.0,61.0,Senegal
19800112 000000,0.0,78.0,93.0,58.0,Senegal
19800112 000000,,47.0,55.0,,Tunisia
19800112 000000,,53.0,63.0,,Tunisia
19800112 000000,0.0,80.0,,75.0,Cameroon
19800112 000000,0.0,76.0,93.0,63.0,Senegal
19800112 000000,0.0,55.0,68.0,43.0,Egypt
19800112 000000,,51.0,61.0,45.0,Tunisia
19800112 000000,0.0,85.0,97.0,68.0,Senegal
19800112 000000,0.0,72.0,77.0,64.0,Senegal
19800112 000000,0.0,,90.0,61.0,Senegal
19800112 000000,0.0,83.0,,63.0,Cameroon
19800112 000000,0.0,78.0,,64.0,Cameroon
19800112 000000,0.0,54.0,,41.0,Egypt
19800112 000000,0.0,74.0,92.0,56.0,Senegal
19800112 000000,0.0,82.0,99.0,61.0,Senegal
19800112 000000,,59.0,,,Egypt
19800112 000000,0.0,,,,Angola
19800112 000000,,51.0,55.0,46.0,Tunisia
19800112 000000,0.0,60.0,72.0,46.0,Egypt
19800112 000000,0.0,76.0,94.0,60.0,Senegal
19800112 000000,0.0,69.0,86.0,59.0,Senegal
19800112 000000,,48.0,,41.0,Tunisia
19800112 000000,0.0,86.0,99.0,72.0,Senegal
19800113 000000,0.0,76.0,93.0,63.0,Senegal
19800113 000000,0.0,58.0,68.0,46.0,Egypt
19800113 000000,0.0,76.0,91.0,63.0,Senegal
19800113 000000,0.0,82.0,97.0,64.0,Senegal
19800113 000000,0.0,,90.0,55.0,Senegal
19800113 000000,0.0,78.0,95.0,63.0,Senegal
19800113 000000,0.0,70.0,84.0,57.0,Senegal
19800113 000000,,52.0,,37.0,Tunisia
19800113 000000,0.0,74.0,88.0,54.0,Senegal
19800113 000000,0.0,61.0,73.0,,Egypt
19800113 000000,0.04,,,,Angola
19800113 000000,0.0,83.0,,70.0,Senegal
19800113 000000,,46.0,,36.0,Tunisia
19800113 000000,,78.0,,,Cameroon
19800113 000000,,50.0,57.0,43.0,Tunisia
19800113 000000,0.0,,85.0,63.0,Senegal
19800113 000000,,60.0,,,Egypt
19800113 000000,0.0,71.0,77.0,66.0,Senegal
19800113 000000,,46.0,61.0,34.0,Tunisia
19800113 000000,0.04,57.0,63.0,48.0,Egypt
19800113 000000,,75.0,,,Cameroon
19800113 000000,0.0,81.0,97.0,68.0,Senegal
19800113 000000,,43.0,54.0,32.0,Tunisia
19800113 000000,0.0,76.0,90.0,59.0,Senegal
19800114 000000,0.0,83.0,95.0,70.0,Senegal
19800114 000000,0.0,72.0,85.0,56.0,Senegal
19800114 000000,0.0,73.0,90.0,61.0,Senegal
19800114 000000,0.0,76.0,91.0,61.0,Senegal
19800114 000000,,56.0,66.0,48.0,Tunisia
19800114 000000,0.0,76.0,88.0,56.0,Senegal
19800114 000000,0.0,66.0,82.0,57.0,Senegal
19800114 000000,0.0,79.0,95.0,,Senegal
19800114 000000,,56.0,64.0,45.0,Tunisia
19800114 000000,,71.0,,,Cameroon
19800114 000000,,53.0,63.0,43.0,Tunisia
19800114 000000,0.0,76.0,,54.0,Senegal
19800114 000000,0.0,78.0,99.0,61.0,Senegal
19800114 000000,0.0,,82.0,61.0,Senegal
19800114 000000,0.0,59.0,,,Egypt
19800114 000000,0.0,50.0,64.0,39.0,Egypt
19800114 000000,0.04,56.0,,50.0,Egypt
19800114 000000,0.0,69.0,75.0,66.0,Senegal
19800114 000000,,55.0,61.0,45.0,Tunisia
19800114 000000,,55.0,63.0,46.0,Tunisia
19800114 000000,0.0,73.0,87.0,57.0,Senegal
19800114 000000,0.0,73.0,90.0,63.0,Senegal
19800114 000000,0.0,,,,Angola
19800114 000000,0.0,63.0,77.0,52.0,Egypt
19800115 000000,0.0,68.0,73.0,64.0,Senegal
19800115 000000,0.0,78.0,91.0,66.0,Senegal
19800115 000000,0.0,70.0,88.0,63.0,Senegal
19800115 000000,0.0,57.0,61.0,,Egypt
19800115 000000,0.0,68.0,81.0,63.0,Senegal
19800115 000000,0.0,80.0,93.0,63.0,Senegal
19800115 000000,0.0,53.0,63.0,46.0,Egypt
19800115 000000,,82.0,,,Cameroon
19800115 000000,0.0,82.0,97.0,66.0,Senegal
19800115 000000,,81.0,,,Cameroon
19800115 000000,,49.0,,43.0,Tunisia
19800115 000000,,82.0,,,Cameroon
19800115 000000,,52.0,64.0,43.0,Tunisia
19800115 000000,,55.0,63.0,,Tunisia
19800115 000000,0.0,73.0,90.0,61.0,Senegal
19800115 000000,0.0,72.0,88.0,58.0,Senegal
19800115 000000,0.0,55.0,70.0,45.0,Egypt
19800115 000000,0.0,,83.0,60.0,Senegal
19800115 000000,0.0,75.0,91.0,63.0,Senegal
19800115 000000,0.0,72.0,81.0,63.0,Senegal
19800115 000000,,50.0,,41.0,Tunisia
19800115 000000,,54.0,63.0,45.0,Tunisia
19800115 000000,0.0,72.0,82.0,63.0,Senegal
19800115 000000,0.0,,,,Angola
19800116 000000,,86.0,93.0,,Senegal
19800116 000000,0.0,76.0,88.0,61.0,Senegal
19800116 000000,0.0,77.0,93.0,66.0,Senegal
19800116 000000,0.0,72.0,,64.0,Senegal
19800116 000000,0.0,,84.0,61.0,Senegal
19800116 000000,,81.0,,,Cameroon
19800116 000000,0.0,82.0,95.0,70.0,Senegal
19800116 000000,,49.0,61.0,,Tunisia
19800116 000000,0.0,72.0,85.0,57.0,Senegal
19800116 000000,0.0,68.0,81.0,63.0,Senegal
19800116 000000,0.0,56.0,64.0,41.0,Egypt
19800116 000000,0.0,78.0,89.0,66.0,Senegal
19800116 000000,0.0,80.0,93.0,72.0,Senegal
19800116 000000,,53.0,59.0,45.0,Tunisia
19800116 000000,0.0,60.0,75.0,45.0,Egypt
19800116 000000,0.0,73.0,91.0,64.0,Senegal
19800116 000000,,50.0,57.0,,Tunisia
19800116 000000,0.0,67.0,73.0,64.0,Senegal
19800116 000000,0.0,,,,Angola
19800116 000000,,53.0,63.0,43.0,Tunisia
19800116 000000,,46.0,54.0,36.0,Tunisia
19800116 000000,0.0,76.0,91.0,64.0,Senegal
19800117 000000,,46.0,57.0,30.0,Tunisia
19800117 000000,,85.0,,,Cameroon
19800117 000000,,51.0,63.0,39.0,Tunisia
19800117 000000,,47.0,55.0,36.0,Tunisia
19800117 000000,,84.0,,,Cameroon
19800117 000000,0.0,81.0,99.0,66.0,Senegal
19800117 000000,0.0,68.0,75.0,,Senegal
19800117 000000,0.0,77.0,97.0,61.0,Senegal
19800117 000000,,53.0,64.0,37.0,Tunisia
19800117 000000,0.04,58.0,,50.0,Egypt
19800117 000000,0.0,,,,Angola
19800117 000000,0.0,69.0,88.0,59.0,Senegal
19800117 000000,0.0,65.0,,50.0,Egypt
19800117 000000,0.0,78.0,,59.0,Senegal
19800117 000000,,51.0,64.0,45.0,Tunisia
19800117 000000,0.0,82.0,96.0,64.0,Senegal
19800117 000000,0.0,79.0,97.0,66.0,Senegal
19800117 000000,0.0,76.0,91.0,63.0,Senegal
19800117 000000,0.0,,90.0,63.0,Senegal
19800117 000000,0.0,86.0,97.0,72.0,Senegal
19800117 000000,0.0,76.0,94.0,58.0,Senegal
19800117 000000,0.0,81.0,97.0,62.0,Senegal
19800117 000000,0.0,76.0,97.0,64.0,Senegal
19800117 000000,,77.0,,,Cameroon
19800117 000000,,87.0,,,Cameroon
19800117 000000,0.08,59.0,73.0,52.0,Egypt
19800118 000000,,85.0,,,Cameroon
19800118 000000,,49.0,55.0,41.0,Tunisia
19800118 000000,,54.0,64.0,43.0,Tunisia
19800118 000000,0.0,57.0,68.0,46.0,Egypt
19800118 000000,0.0,69.0,,64.0,Senegal
19800118 000000,0.0,55.0,63.0,,Egypt
19800118 000000,0.0,84.0,99.0,68.0,Senegal
19800118 000000,0.0,87.0,99.0,72.0,Senegal
19800118 000000,,81.0,,,Cameroon
19800118 000000,0.0,91.0,100.0,75.0,Senegal
19800118 000000,0.0,77.0,93.0,64.0,Senegal
19800118 000000,0.0,78.0,90.0,65.0,Senegal
19800118 000000,0.0,79.0,95.0,66.0,Senegal
19800118 000000,,51.0,59.0,,Tunisia
19800118 000000,0.0,78.0,94.0,63.0,Senegal
19800118 000000,0.0,74.0,90.0,66.0,Senegal
19800118 000000,0.0,81.0,97.0,63.0,Senegal
19800118 000000,0.0,,82.0,64.0,Senegal
19800118 000000,0.0,80.0,97.0,57.0,Senegal
19800118 000000,,82.0,,,Cameroon
19800118 000000,,71.0,84.0,54.0,Egypt
19800118 000000,,53.0,64.0,41.0,Tunisia
19800118 000000,0.0,69.0,75.0,66.0,Senegal
19800118 000000,,52.0,61.0,,Tunisia
19800118 000000,0.04,,,,Angola
19800119 000000,0.0,68.0,81.0,61.0,Senegal
19800119 000000,0.0,,83.0,63.0,Senegal
19800119 000000,,54.0,63.0,50.0,Tunisia
19800119 000000,0.0,70.0,88.0,57.0,Egypt
19800119 000000,,53.0,64.0,45.0,Tunisia
19800119 000000,,49.0,,,Tunisia
19800119 000000,0.0,87.0,99.0,72.0,Senegal
19800119 000000,0.0,77.0,90.0,64.0,Senegal
19800119 000000,0.0,83.0,99.0,70.0,Senegal
19800119 000000,0.0,78.0,95.0,66.0,Senegal
19800119 000000,0.0,57.0,,39.0,Egypt
19800119 000000,0.0,75.0,90.0,63.0,Senegal
19800119 000000,,48.0,59.0,41.0,Tunisia
19800119 000000,,47.0,61.0,36.0,Tunisia
19800119 000000,0.0,55.0,66.0,45.0,Egypt
19800119 000000,0.0,76.0,91.0,64.0,Senegal
19800119 000000,0.0,,,,Angola
19800119 000000,0.0,75.0,91.0,64.0,Senegal
19800119 000000,0.0,73.0,88.0,61.0,Senegal
19800119 000000,0.0,55.0,66.0,43.0,Egypt
19800119 000000,0.0,80.0,99.0,61.0,Senegal
19800119 000000,0.0,83.0,99.0,72.0,Senegal
19800119 000000,0.0,69.0,75.0,66.0,Senegal
19800120 000000,0.0,55.0,,43.0,Egypt
19800120 000000,0.0,86.0,102.0,73.0,Senegal
19800120 000000,0.0,83.0,99.0,66.0,Senegal
19800120 000000,0.0,69.0,75.0,64.0,Senegal
19800120 000000,0.0,77.0,94.0,65.0,Senegal
19800120 000000,0.53,,,,Angola
19800120 000000,,43.0,57.0,34.0,Tunisia
19800120 000000,0.0,81.0,94.0,66.0,Senegal
19800120 000000,0.0,,89.0,64.0,Senegal
19800120 000000,,88.0,,,Cameroon
19800120 000000,0.0,79.0,91.0,63.0,Senegal
19800120 000000,,51.0,63.0,39.0,Tunisia
19800120 000000,0.0,84.0,100.0,59.0,Senegal
19800120 000000,,85.0,,,Cameroon
19800120 000000,0.0,71.0,,,Egypt
19800120 000000,,90.0,102.0,,Senegal
19800120 000000,0.0,72.0,95.0,64.0,Senegal
19800120 000000,,52.0,63.0,43.0,Tunisia
19800120 000000,0.0,89.0,102.0,75.0,Senegal
19800120 000000,0.0,78.0,99.0,68.0,Senegal
19800120 000000,,51.0,59.0,41.0,Tunisia
19800120 000000,,82.0,,,Cameroon
19800120 000000,,49.0,61.0,39.0,Tunisia
19800120 000000,0.0,78.0,95.0,64.0,Senegal
19800121 000000,,55.0,66.0,,Tunisia
19800121 000000,,43.0,59.0,28.0,Tunisia
19800121 000000,,73.0,84.0,,Senegal
19800121 000000,0.0,,85.0,65.0,Senegal
19800121 000000,0.0,56.0,64.0,43.0,Egypt
19800121 000000,0.0,75.0,91.0,61.0,Egypt
19800121 000000,0.0,82.0,95.0,67.0,Senegal
19800121 000000,,50.0,59.0,45.0,Tunisia
19800121 000000,,83.0,,,Cameroon
19800121 000000,,82.0,99.0,,Senegal
19800121 000000,,52.0,59.0,45.0,Tunisia
19800121 000000,0.0,80.0,94.0,66.0,Senegal
19800121 000000,0.0,86.0,102.0,73.0,Senegal
19800121 000000,0.0,79.0,91.0,65.0,Senegal
19800121 000000,,53.0,64.0,45.0,Tunisia
19800121 000000,0.0,90.0,102.0,77.0,Senegal
19800121 000000,,86.0,104.0,,Senegal
19800121 000000,0.08,,,,Angola
19800121 000000,0.0,58.0,66.0,46.0,Egypt
19800121 000000,,91.0,,,Cameroon
19800121 000000,,69.0,73.0,,Senegal
19800121 000000,,85.0,100.0,,Senegal
19800121 000000,,86.0,95.0,,Senegal
19800122 000000,0.0,53.0,,48.0,Egypt
19800122 000000,0.0,53.0,64.0,45.0,Egypt
19800122 000000,,49.0,64.0,,Tunisia
19800122 000000,,92.0,104.0,,Cameroon
19800122 000000,0.0,64.0,75.0,55.0,Egypt
19800122 000000,,55.0,68.0,43.0,Tunisia
19800122 000000,0.0,83.0,102.0,68.0,Senegal
19800122 000000,0.0,68.0,79.0,63.0,Senegal
19800122 000000,0.0,69.0,81.0,59.0,Senegal
19800122 000000,0.0,77.0,95.0,63.0,Senegal
19800122 000000,0.0,,,,Angola
19800122 000000,0.0,83.0,102.0,61.0,Senegal
19800122 000000,,87.0,99.0,,Cameroon
19800122 000000,,50.0,64.0,,Tunisia
19800122 000000,0.0,78.0,99.0,66.0,Senegal
19800122 000000,0.0,71.0,92.0,60.0,Senegal
19800122 000000,,53.0,66.0,45.0,Tunisia
19800122 000000,0.0,,84.0,63.0,Senegal
19800122 000000,0.0,92.0,104.0,77.0,Senegal
19800122 000000,0.0,87.0,102.0,75.0,Senegal
